Confirmed,Country,End date,Level,Place,Start date
Confirmed,China,2020-03-25,City,Suizhou,2020-01-24
Confirmed,China,2020-03-25,City,Xiangyang,2020-01-28
Confirmed,China,2020-03-13,City,Huangshi,2020-01-24
Confirmed,China,2020-03-25,City,Yichang,2020-01-24
Confirmed,China,2020-03-25,City,Jingmen,2020-01-24
Confirmed,China,2020-03-25,City,Xianning,2020-01-24
Confirmed,China,2020-03-25,City,Shiyan,2020-01-24
Confirmed,China,2020-03-25,City,Xiantao,2020-01-24
Confirmed,China,2020-03-25,City,Tianmen,2020-01-24
Confirmed,China,2020-03-25,City,Enshi,2020-01-24
Confirmed,China,2020-03-13,City,Qianjiang,2020-01-24
